成交日期,证券名称,买卖标志,成交金额,清算金额,备注,实际交易费,备注费用合计,差异
20250603,中国飞鹤,证券买入,5685.77,-5699.51,港股通买入.汇率:0.917060;交易费:0.32;交易征费:0.15;会财局征费:0.00;换汇尾差:0.03交收,13.74,0.50,有差异
20250603,信创50ETF,证券买入,6048,-6053,证券买入,5.00,-,-
20250603,长江电力,证券卖出,5976,5967.95,证券卖出,8.05,-,-
20250603,中国核电,证券卖出,9500,9490.13,证券卖出,9.87,-,-
20250605,阿里巴巴－Ｗ,证券卖出,20863.57,20826.31,港股通卖出.汇率:0.919100;交易费:1.17;交易征费:0.56;会财局征费:0.02;换汇尾差:0.03交收,37.26,1.78,有差异
20250605,中国飞鹤,证券卖出,10643.18,10623.02,港股通卖出.汇率:0.919100;交易费:0.59;交易征费:0.28;会财局征费:0.01;换汇尾差:0.04交收,20.16,0.92,有差异
20250605,德国ETF,证券买入,9450,-9455,证券买入,5.00,-,-
20250605,恒生消费ETF,证券买入,7805.2,-7810.2,证券买入,5.00,-,-
20250605,创新药ETF,证券卖出,7960,7955,证券卖出,5.00,-,-
20250605,中证1000ETF易方?,证券卖出,12670,12665,证券卖出,5.00,-,-
20250606,黄金ETF华夏,证券卖出,3757.5,3752.5,证券卖出,5.00,-,-
20250606,长江电力,证券买入,5998,-6003.06,证券买入,5.06,-,-
20250606,信创50ETF,证券买入,12840,-12845,证券买入,5.00,-,-
20250609,中证1000ETF易方?,证券卖出,6395,6390,证券卖出,5.00,-,-
20250609,德国ETF,证券卖出,9425.01,9420.01,证券卖出,5.00,-,-
20250609,创新药ETF,证券卖出,4075,4070,证券卖出,5.00,-,-
20250610,德国ETF,证券卖出,9400,9395,证券卖出,5.00,-,- 